usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,globalClockTime,userAgent,manualCondition
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.198"",""0.471"",""0.621"",""0.253""]","[1,1,1,0]",0,12,12,12,1,0,1,,,0,FALSE,2.5258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.407"",""0.242"",""0.822""]","[1,1,0,1]",0,13,13,13,1,1,0,,,0,FALSE,0.9795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.322"",""0.511"",""0.881"",""0.253""]","[1,1,1,0]",0,14,14,14,1,0,0,,,0,FALSE,1.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.721"",""0.162"",""0.672"",""0.768""]","[0,1,1,1]",0,15,15,15,1,1,1,,,0,FALSE,3.3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.322"",""0.511"",""0.881"",""0.256""]","[1,1,1,0]",0,16,16,16,1,0,0,,,0,FALSE,3.4335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.103"",""0.256"",""0.672"",""0.768""]","[1,0,1,1]",0,17,17,17,1,1,1,,,0,FALSE,3.0999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.277"",""0.557"",""0.822""]","[1,0,1,1]",0,18,18,18,1,1,0,,,0,FALSE,3.4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.407"",""0.557"",""0.709""]","[1,1,1,0]",0,19,19,19,1,1,0,,,0,FALSE,1.3034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.277"",""0.511"",""0.881"",""0.957""]","[0,1,1,1]",0,20,20,20,1,0,0,,,0,FALSE,2.8345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.322"",""0.511"",""0.357"",""0.957""]","[1,1,0,1]",0,21,21,21,1,0,0,,,0,FALSE,1.4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.198"",""0.256"",""0.621"",""0.922""]","[1,0,1,1]",0,22,22,22,1,0,1,,,0,FALSE,3.4449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.407"",""0.357"",""0.822""]","[1,1,0,1]",0,23,23,23,1,1,0,,,0,FALSE,0.9794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.198"",""0.471"",""0.621"",""0.242""]","[1,1,1,0]",0,24,24,24,1,0,1,,,0,FALSE,0.7186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.322"",""0.267"",""0.881"",""0.957""]","[1,0,1,1]",0,25,25,25,1,0,0,,,0,FALSE,0.8418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.708"",""0.471"",""0.621"",""0.922""]","[0,1,1,1]",0,26,26,26,1,0,1,,,0,FALSE,0.8532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.103"",""0.162"",""0.672"",""0.242""]","[1,1,1,0]",0,27,27,27,1,1,1,,,0,FALSE,1.5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.357"",""0.162"",""0.672"",""0.768""]","[0,1,1,1]",0,28,28,28,1,1,1,,,0,FALSE,2.0158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.198"",""0.471"",""0.709"",""0.922""]","[1,1,0,1]",0,29,29,29,1,0,1,,,0,FALSE,1.0851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.261"",""0.407"",""0.557"",""0.822""]","[0,1,1,1]",0,30,30,30,1,1,0,,,0,FALSE,2.6425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.103"",""0.162"",""0.357"",""0.768""]","[1,1,0,1]",0,31,31,31,1,1,1,,,0,FALSE,1.7309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.198"",""0.471"",""0.242"",""0.922""]","[1,1,0,1]",0,32,32,32,1,0,1,,,0,FALSE,2.0569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.103"",""0.162"",""0.672"",""0.357""]","[1,1,1,0]",0,33,33,33,1,1,1,,,0,FALSE,1.8315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.407"",""0.557"",""0.256""]","[1,1,1,0]",0,34,34,34,1,1,0,,,0,FALSE,2.4709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.407"",""0.277"",""0.822""]","[1,1,0,1]",0,35,35,35,1,1,0,,,0,FALSE,0.6668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.103"",""0.162"",""0.064"",""0.768""]","[1,1,0,1]",0,36,36,36,1,1,1,,,0,FALSE,1.3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.242"",""0.407"",""0.557"",""0.822""]","[0,1,1,1]",0,37,37,37,1,1,0,,,0,FALSE,0.8402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.322"",""0.511"",""0.881"",""0.277""]","[1,1,1,0]",0,38,38,38,1,0,0,,,0,FALSE,0.7374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.261"",""0.162"",""0.672"",""0.768""]","[0,1,1,1]",0,39,39,39,1,1,1,,,0,FALSE,2.9079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
