usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.286"",""0.199"",""0.732""]","[1,1,0,1]",0,14,14,14,1,1,1,,,0,FALSE,0.8119,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.560"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,15,15,15,1,0,1,,,0,FALSE,1.5861,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.204"",""0.286"",""0.673"",""0.732""]","[0,1,1,1]",0,16,16,16,1,1,1,,,0,FALSE,2.7008,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.368"",""0.832"",""0.464""]","[1,1,1,0]",0,17,17,17,1,0,1,,,0,FALSE,1.9995,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.557"",""0.425"",""0.611"",""0.798""]","[0,1,1,1]",0,18,18,18,1,1,0,,,0,FALSE,1.1133,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.552"",""0.511"",""0.885"",""0.969""]","[0,1,1,1]",0,19,19,19,1,0,0,,,0,FALSE,1.1096,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.060"",""0.557"",""0.611"",""0.798""]","[1,0,1,1]",0,20,20,20,1,1,0,,,0,FALSE,0.6585,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.286"",""0.319"",""0.732""]","[1,1,0,1]",0,21,21,21,1,1,1,,,0,FALSE,0.7365,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.250"",""0.368"",""0.575"",""0.926""]","[1,1,0,1]",0,22,22,22,1,0,1,,,0,FALSE,0.7588,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.060"",""0.425"",""0.330"",""0.798""]","[1,1,0,1]",0,23,23,23,1,1,0,,,0,FALSE,1.3174,,,,,,,,,,,,,
