usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,key_resp_3.rt,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.567,"[""0.025"",""0.158"",""0.593"",""0.212""]","[1,1,1,0]",0,8,8,8,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.0995,"[""0.068"",""0.113"",""0.737"",""0.703""]","[1,1,0,1]",0,9,9,9,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.7516,"[""0.068"",""0.113"",""0.499"",""0.212""]","[1,1,1,0]",0,10,10,10,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,2.4153,"[""0.306"",""0.397"",""0.867"",""0.639""]","[1,1,1,0]",0,11,11,11,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,4.7512,"[""0.306"",""0.196"",""0.867"",""0.972""]","[1,0,1,1]",0,12,12,12,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,1.9675,"[""0.025"",""0.158"",""0.198"",""0.773""]","[1,1,0,1]",0,13,13,13,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.0669,"[""0.068"",""0.638"",""0.499"",""0.703""]","[1,0,1,1]",0,14,14,14,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,4.2837,"[""0.549"",""0.158"",""0.593"",""0.773""]","[0,1,1,1]",0,15,15,15,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,3.3989,"[""0.554"",""0.113"",""0.499"",""0.703""]","[0,1,1,1]",0,16,16,16,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172c4021e98fea55a9d4a12,627c89d435e1a07e1d810e71,2022-05-12_07h21.44.759,classification_task,2021.2.3,Win32,60.60238773,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,2.883,"[""0.306"",""0.397"",""0.867"",""0.637""]","[1,1,1,0]",0,17,17,17,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
